,Word,Frequency,player,language
98,report,298,jeremie frimpong,en
197,citi,272,jeremie frimpong,en
286,chelsea,265,jeremie frimpong,en
5,goal,20,mitchel bakker,en
1,score,13,mitchel bakker,en
4,leagu,8,mitchel bakker,en
6,frimpong,5,mitchel bakker,en
552,match,652,moussa diaby,en
819,highlight,592,moussa diaby,en
274,arsen,541,moussa diaby,en
216,season,492,moussa diaby,en
331,leagu,396,moussa diaby,en
57,team,327,moussa diaby,en
677,network,322,moussa diaby,en
744,citi,320,moussa diaby,en
45,goal,313,moussa diaby,en
179,time,302,moussa diaby,en
122,game,299,moussa diaby,en
53,club,297,moussa diaby,en
107,year,291,moussa diaby,en
416,premier,284,moussa diaby,en
127,plai,283,moussa diaby,en
44,win,250,moussa diaby,en
315,rate,249,moussa diaby,en
453,new,240,moussa diaby,en
157,watch,235,moussa diaby,en
310,chelsea,223,moussa diaby,en
989,recap,3196,mykhaylo mudryk,en
480,highlight,3000,mykhaylo mudryk,en
75,match,2988,mykhaylo mudryk,en
988,replai,2932,mykhaylo mudryk,en
214,usa,1766,mykhaylo mudryk,en
939,network,1574,mykhaylo mudryk,en
74,leagu,1304,mykhaylo mudryk,en
376,rate,1215,mykhaylo mudryk,en
73,premier,1188,mykhaylo mudryk,en
123,chelsea,1185,mykhaylo mudryk,en
12,arsen,1085,mykhaylo mudryk,en
28,citi,958,mykhaylo mudryk,en
443,watch,939,mykhaylo mudryk,en
7,season,828,mykhaylo mudryk,en
124,live,760,mykhaylo mudryk,en
131,liverpool,666,mykhaylo mudryk,en
8,newcastl,602,mykhaylo mudryk,en
247,brighton,601,mykhaylo mudryk,en
819,fulham,588,mykhaylo mudryk,en
323,leed,576,mykhaylo mudryk,en
61,club,86,piero hincapie,en
1,transfer,70,piero hincapie,en
40,year,52,piero hincapie,en
126,valu,44,piero hincapie,en
167,game,43,piero hincapie,en
164,goal,41,piero hincapie,en
98,season,41,piero hincapie,en
71,time,40,piero hincapie,en
19,unit,39,piero hincapie,en
51,midfield,39,piero hincapie,en
74,plai,39,piero hincapie,en
30,tottenham,37,piero hincapie,en
116,back,36,piero hincapie,en
8,manchest,36,piero hincapie,en
52,new,33,piero hincapie,en
12,team,31,piero hincapie,en
110,minut,31,piero hincapie,en
15,leagu,30,piero hincapie,en
138,ryan,29,piero hincapie,en
